,date,day,wk,cases,di,deaths
0,2020-01-31,0,0.0,1,0,0
1,2020-02-01,1,0.14285714285714285,1,0,0
2,2020-02-02,2,0.2857142857142857,2,1,0
3,2020-02-03,3,0.42857142857142855,2,0,0
4,2020-02-04,4,0.5714285714285714,2,0,0
5,2020-02-05,5,0.7142857142857143,2,0,0
6,2020-02-06,6,0.8571428571428571,2,0,0
7,2020-02-07,7,1.0,2,0,0
8,2020-02-08,8,1.1428571428571428,2,0,0
9,2020-02-09,9,1.2857142857142858,2,0,0
10,2020-02-10,10,1.4285714285714286,2,0,0
11,2020-02-11,11,1.5714285714285714,2,0,0
12,2020-02-12,12,1.7142857142857142,2,0,0
13,2020-02-13,13,1.8571428571428572,2,0,0
14,2020-02-14,14,2.0,2,0,0
15,2020-02-15,15,2.142857142857143,2,0,0
16,2020-02-16,16,2.2857142857142856,2,0,0
17,2020-02-17,17,2.4285714285714284,2,0,0
18,2020-02-18,18,2.5714285714285716,2,0,0
19,2020-02-19,19,2.7142857142857144,2,0,0
20,2020-02-20,20,2.857142857142857,2,0,0
21,2020-02-21,21,3.0,2,0,0
22,2020-02-22,22,3.142857142857143,2,0,0
23,2020-02-23,23,3.2857142857142856,2,0,0
24,2020-02-24,24,3.4285714285714284,2,0,0
25,2020-02-25,25,3.5714285714285716,2,0,0
26,2020-02-26,26,3.7142857142857144,2,0,0
27,2020-02-27,27,3.857142857142857,2,0,0
28,2020-02-28,28,4.0,3,1,0
29,2020-02-29,29,4.142857142857143,4,1,0
30,2020-03-01,30,4.285714285714286,7,3,0
31,2020-03-02,31,4.428571428571429,9,2,0
32,2020-03-03,32,4.571428571428571,11,2,0
33,2020-03-04,33,4.714285714285714,14,3,0
34,2020-03-05,34,4.857142857142857,20,6,0
35,2020-03-06,35,5.0,24,4,0
36,2020-03-07,36,5.142857142857143,32,8,0
37,2020-03-08,37,5.285714285714286,37,5,0
38,2020-03-09,38,5.428571428571429,43,6,1
39,2020-03-10,39,5.571428571428571,45,2,1
40,2020-03-11,40,5.714285714285714,48,3,1
41,2020-03-12,41,5.857142857142857,66,18,1
42,2020-03-13,42,6.0,79,13,2
43,2020-03-14,43,6.142857142857143,91,12,2
44,2020-03-15,44,6.285714285714286,114,23,2
45,2020-03-16,45,6.428571428571429,138,24,4
46,2020-03-17,46,6.571428571428571,155,17,5
47,2020-03-18,47,6.714285714285714,175,20,6
48,2020-03-19,48,6.857142857142857,189,14,6
49,2020-03-20,49,7.0,196,7,8
50,2020-03-21,50,7.142857142857143,263,67,8
51,2020-03-22,51,7.285714285714286,303,40,11
52,2020-03-23,52,7.428571428571429,321,18,11
53,2020-03-24,53,7.571428571428571,375,54,17
54,2020-03-25,54,7.714285714285714,459,84,18
55,2020-03-26,55,7.857142857142857,542,83,20
56,2020-03-27,56,8.0,574,32,21
57,2020-03-28,57,8.142857142857142,591,17,26
58,2020-03-29,58,8.285714285714286,646,55,26
59,2020-03-30,59,8.428571428571429,848,202,29
60,2020-03-31,60,8.571428571428571,890,42,31
61,2020-04-01,61,8.714285714285714,956,66,33
62,2020-04-02,62,8.857142857142858,1019,63,37
63,2020-04-03,63,9.0,1094,75,39
64,2020-04-04,64,9.142857142857142,1148,54,40
65,2020-04-05,65,9.285714285714286,1207,59,40
66,2020-04-06,66,9.428571428571429,1224,17,40
67,2020-04-07,67,9.571428571428571,1285,61,44
68,2020-04-08,68,9.714285714285714,1380,95,47
69,2020-04-09,69,9.857142857142858,1442,62,48
70,2020-04-10,70,10.0,1484,42,50
71,2020-04-11,71,10.142857142857142,1566,82,52
72,2020-04-12,72,10.285714285714286,1621,55,54
73,2020-04-13,73,10.428571428571429,1666,45,61
74,2020-04-14,74,10.571428571428571,1666,0,61
75,2020-04-15,75,10.714285714285714,1793,127,66
76,2020-04-16,76,10.857142857142858,1833,40,70
77,2020-04-17,77,11.0,1870,37,74
78,2020-04-18,78,11.142857142857142,1870,0,74
79,2020-04-19,79,11.285714285714286,1870,0,74
80,2020-04-20,80,11.428571428571429,1922,52,84
81,2020-04-21,81,11.571428571428571,1946,24,89
82,2020-04-22,82,11.714285714285714,1962,16,95
83,2020-04-23,83,11.857142857142858,1987,25,96
84,2020-04-24,84,12.0,2018,31,99
85,2020-04-25,85,12.142857142857142,2040,22,100
86,2020-04-26,86,12.285714285714286,2084,44,101
87,2020-04-27,87,12.428571428571429,2105,21,104
88,2020-04-28,88,12.571428571428571,2122,17,107
89,2020-04-29,89,12.714285714285714,2134,12,108
90,2020-04-30,90,12.857142857142858,2163,29,112
91,2020-05-01,91,13.0,2179,16,114
92,2020-05-02,92,13.142857142857142,2204,25,115
93,2020-05-03,93,13.285714285714286,2231,27,116
94,2020-05-04,94,13.428571428571429,2244,13,118
95,2020-05-05,95,13.571428571428571,2255,11,122
96,2020-05-06,96,13.714285714285714,2268,13,122
97,2020-05-07,97,13.857142857142858,2281,13,122
98,2020-05-08,98,14.0,2290,9,129
99,2020-05-09,99,14.142857142857142,2307,17,131
100,2020-05-10,100,14.285714285714286,2339,32,131
101,2020-05-11,101,14.428571428571429,2341,2,131
102,2020-05-12,102,14.571428571428571,2364,23,134
